clave,desc,exist_parcial,existencia,precio_c,precio_v,valor_c,valor_v
HILFIL71636-38,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,65.39,77.0,77.72,5035.03,5082.1108
HILFIL71636-39,150/48 DTY 100% POLIESTER SD NIM C/CH MILITAR,0.0,189.67,77.0,83.52,14604.589999999998,15841.238399999998
HILFIL46741-32,150/144 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,29.44,41.76,0.0,0.0
HILFIL45245-32,150/144/2 DTY 100% POLIESTER SD SIM CRUDO,0.0,0.0,30.6,41.76,0.0,0.0
HILFIL11189-40,150/48 DTY 100% POLIESTER SD NIM C/G VERDE,0.0,33.0,40.0,71.92,1320.0,2373.36
HILFIL71636-40,150/48 DTY 100% POLIESTER SD NIM C/CH VERDE,0.0,15.3,77.0,83.52,1178.1000000000001,1277.856
HILFIL71636-41,150/48 DTY 100% POLIESTER SD NIM C/CH ROSA,0.0,0.0,77.0,83.52,0.0,0.0
SINSIN36831,prueba pedimentos,0.0,0.0,12.0,15.0,0.0,0.0
HILFIL38413-32,150/48+20 DTY 100% POLIESTER SD TANG CRUDO,0.0,984.786,50.0,60.32,49239.299999999996,59402.29152
HILFIL61782-32,75/72 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,27.12,42.92,0.0,0.0
HILFIL30257-21,150/48/2 DTY 100% POLIESTER SD HIM C/G NEGRO,0.0,3410.3,38.0,46.4,129591.40000000001,158237.92
HILFIL38413-23,150/48+20 DTY 100% POLIESTER SD TANG MARINO,0.0,54.93,50.0,111.0,2746.5,6097.23
HILFIL38413-26,150/48+20 DTY 100% POLIESTER SD TANG SUGAR,0.0,0.0,50.0,99.01,0.0,0.0
HILFIL38413-25,150/48+20 DTY 100% POLIESTER SD TANG ROJO 13,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL18923-21,150/48/2 DTY 100% POLIESTER SD HIM C/CH,0.0,0.0,40.0,58.0,0.0,0.0
HILFIL81428-32,55/72 DTY 100% POLIESTER SD SIM CRUDO,0.0,0.0,39.88,49.88,0.0,0.0
HILFIL39532-32,HILO 75/72/2 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL38413-22,150/48+20 DTY 100% POLIESTER SD TANG GRIS,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-27,150/48+20 DTY 100% POLIESTER SD TANG ROSA,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-24,150/48+20 DTY 100% POLIESTER SD TANG BEIGE,0.0,1.3,50.0,107.0,65.0,139.1
HILFIL38413-34,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-35,150/48+20 DTY 100% POLIESTER SD TANG GRIS,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-40,150/48+20 DTY 100% POLIESTER SD TANG VERDE,0.0,33.3,50.0,107.0,1664.9999999999998,3563.1
HILFIL38413-39,150/48+20 DTY 100% POLIESTER SD TANG MILITAR,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-38,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-37,150/48+20 DTY 100% POLIESTER SD TANG ARENA,0.0,1.4,50.0,107.0,70.0,149.79999999999998
HILFIL38413-36,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL96063-42,150/36 DTY 100% POLIESTER SD HIM GRIS KOALA,0.0,430.79,36.4,51.04,15680.756,21987.5216
FILTAN76741-44,150/48+20 100% POL TANG VINO,0.0,7.5,55.0,58.0,412.5,435.0
HILFIL11189-41,150/48 DTY 100% POLIESTER SD NIM C/G ROSA,0.0,0.0,40.0,71.92,0.0,0.0
HILFIL55083-32,200/288 100% POL SIM CRUDO,0.0,0.0,27.12,40.0,0.0,0.0
FILCRU41467-32,150/48 DTY 100% POLIESTER SD HIM CRUDO,0.0,1269.5,38.0,44.08,48241.0,55959.56
FILCRU66048-32,150/48/2 100% POL TEX CRUDO,0.0,0.0,42.2,44.08,0.0,0.0
HILFIL66523-32,50/72 100% POL SIM CRUDO,0.0,0.0,38.28,42.92,0.0,0.0
FILCRU49991-32,75/36 DTY 100% POLIESTER SD NIM CRUDO,0.0,0.0,30.0,42.92,0.0,0.0
FILCRU66474-32,150/96 100% POL CRUDO,0.0,0.0,40.0,41.76,0.0,0.0
04OLIM0105,OLIMPICA BLANCO,0.0,1253.9,70.0,110.2,87773.0,138179.78000000003
04OLIM0348,OLIMPICA NEGRO,0.0,2908.1,70.0,121.8,203567.0,354206.57999999996
04OLIM0434,OLIMPICA ROJO,0.0,0.0,70.0,121.8,0.0,0.0
04OLIM0414,OLIMPICA REY,0.0,0.0,70.0,121.8,0.0,0.0
04OLIM0276,OLIMPICA MARINO,0.0,3421.8,70.0,121.8,239526.0,416775.24
04OLIM1854,OLIMPICA VINO,0.0,0.0,70.0,121.8,0.0,0.0
FILCRU88601-46,75/72/2 100% POL SIM ROYAL,0.0,0.0,0.0,0.0,0.0,0.0
DEPPAN92196,PANAMA BLANCO,0.0,0.0,70.0,110.2,0.0,0.0
FILCRU78594-18,75/36 100% POL TEX NEGRO,0.0,27.5,30.0,42.92,825.0,1180.3
SINSIN45417,LIKRA 20 SPANDEX,0.0,0.0,80.0,116.0,0.0,0.0
SINSIN49735,LIKRA 40 SPANDEX,0.0,0.0,80.0,127.6,0.0,0.0
HILFIL48714-32,100/96 DTY POLIESTER 100% RW SD SIM CRUDO,0.0,0.0,27.12,37.0,0.0,0.0
FILTAN88656-45,150/48+20 100% POL TANG BLANCO OPTICO T-286,0.0,116.87,55.0,58.0,6427.85,6778.46
DEPOLI44251,TORONTO BLANCO,0.0,4957.8,70.0,110.2,347046.0,546349.56
SINSIN95199,"HILO DTY NYLON 40/34 SD RW ""S""",0.0,0.0,0.0,104.4,0.0,0.0
SINSIN13496,"HILO DTY NYLON 40/34 SD RW ""Z""",0.0,0.0,0.0,104.4,0.0,0.0
SINSIN73620,LIKRA 70 SPANDEX,0.0,0.0,80.0,127.6,0.0,0.0
SINSIN37382,ROLLO VIEZ PIQUE ATLANTE POLIESTER 100%,0.0,0.0,0.0,133.0,0.0,0.0
HILFIL38413-33,150/48+20 DTY 100% POLIESTER SD TANG REY,0.0,74.26,50.0,59.16,3713.0000000000005,4393.2216
SINSIN28135,ACY 20/40/34/1 NYLON CRUDO TORSION Z,0.0,0.0,53.8,116.0,0.0,0.0
FILCRU10094,75/36 DTY 100% POLIESTER SD SIM,0.0,0.0,30.0,42.92,0.0,0.0
SINSIN39550,LIKRA ACY 20/40/34/1 NYLON CRUDO TORCION Z,0.0,0.0,80.0,116.0,0.0,0.0
FILCRU38980,150/48/2 100% POL SIM,0.0,12620.0,40.0,42.92,504800.0,541650.4
SINSIN55626,HILO 30/1 POLIESTER 100% BLANCO OPTICO,0.0,0.0,0.0,56.84,0.0,0.0
SINSIN59699,HILO POLIESTER SDRW 50/24/1 FDY,0.0,0.0,0.0,40.6,0.0,0.0
FILCRU76635,150/48/2 HIM DDB POLIESTER 100% DTY,0.0,0.0,40.0,40.6,0.0,0.0
FILCRU77702,HILO 100/144 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILACR93885,ACRLICO 1/28 BLANCO,0.0,0.0,0.0,0.0,0.0,0.0
DEPPAR96681,PARAGUAY BLANCO,0.0,16328.7,70.0,106.72,1143009.0,1742598.864
HILACR29104,ACRLICO 2/28 OXFORD,0.0,0.0,0.0,0.0,0.0,0.0
HILACR28441,ACRLICO 2/28 NEGRO,0.0,0.0,0.0,0.0,0.0,0.0
HILACR84195,ACRLICO 2/28 SESAME,0.0,0.0,0.0,0.0,0.0,0.0
FILCRU19501,HILO 75/144/2 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
DEPOLI49272,PIQUE VERA BLANCO,0.0,0.0,70.0,86.0,0.0,0.0
FILCRU38383,HILO 75/144 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL32961,20/1 POL MONOFILAMENTO 280,0.0,0.0,0.0,61.48,0.0,0.0
DEPOLI79231,TORONTO NEGRO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI32296,TORONTO MARINO NAVY,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI36031,TORONTO ROJO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI25680,PANAMA NEGRO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI71835,PANAMA MARINO CLARO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI69948,PANAMA MARINO NAVY,0.0,0.0,70.0,121.8,0.0,0.0
SINSIN49549,HILO POLIESTER SDRW 45/24 FDY,0.0,0.0,0.0,40.6,0.0,0.0
SINSIN79991,HILO POLIESTER SDRW 75/36 FDY,0.0,0.0,0.0,42.92,0.0,0.0
SINSIN45484,LIKRA 55 SPANDEX,0.0,0.0,80.0,116.0,0.0,0.0
FILTAN19534,150/48+20 DTY TANGLEADO SD GRIS OBSCURO,0.0,75.62,40.0,63.8,3024.8,4824.5560000000005
FILCRU80555,75/36 DTY 100% POLIESTER SD HIM,0.0,0.0,30.0,42.92,0.0,0.0
HILFIL23006,75/72 DTY 100% POLIESTER SIM CD BR RW,0.0,0.0,27.12,58.0,0.0,0.0
FILCRU16773,75/36 DTY 100% POLIESTER SD SIM URDIDO,0.0,0.0,30.0,42.92,0.0,0.0
HILFIL54332,150/48 DTY 100% POLIESTER SD NIM C/G CAFE,0.0,3014.6,40.0,66.12,120584.0,199325.352
FELTEL65940,FELPA SPUN 100% POLIESTER BLANCO,0.0,0.0,0.0,0.0,0.0,0.0
FELTEL86316,FELPA SPUN 100% POLIESTER MARINO,0.0,0.0,0.0,0.0,0.0,0.0
FELTEL84677,FELPA SPUN 100% POLIESTER NEGRO,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL13937,150/48 DTY 100% POLIESTER SD NIM C/CH CAFE,0.0,0.0,40.0,66.12,0.0,0.0
HILFIL27967,150/288 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,38.28,41.76,0.0,0.0
DEPOLI12189,JACQUARD 162 BLANCO,0.0,0.0,100.0,125.0,0.0,0.0
