clave,desc,exist_parcial,existencia,precio_c,precio_v,valor_costo,valor_venta
HILFIL71636-41,150/48 DTY 100% POLIESTER SD NIM C/CH ROSA,0.0,0.0,77.0,83.52,0.0,0.0
SINSIN36831,prueba pedimentos,0.0,0.0,12.0,15.0,0.0,0.0
HILFIL38413-32,150/48+20 DTY 100% POLIESTER SD TANG CRUDO,0.0,984.786,50.0,60.32,49239.3,59402.29
HILFIL61782-32,75/72 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,27.12,42.92,0.0,0.0
HILFIL30257-21,150/48/2 DTY 100% POLIESTER SD HIM C/G NEGRO,0.0,3410.3,38.0,46.4,129591.4,158237.92
HILFIL38413-23,150/48+20 DTY 100% POLIESTER SD TANG MARINO,0.0,54.93,50.0,111.0,2746.5,6097.23
HILFIL38413-26,150/48+20 DTY 100% POLIESTER SD TANG SUGAR,0.0,0.0,50.0,99.01,0.0,0.0
HILFIL38413-25,150/48+20 DTY 100% POLIESTER SD TANG ROJO 13,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL18923-21,150/48/2 DTY 100% POLIESTER SD HIM C/CH,0.0,0.0,40.0,58.0,0.0,0.0
HILFIL81428-32,55/72 DTY 100% POLIESTER SD SIM CRUDO,0.0,0.0,39.88,49.88,0.0,0.0
HILFIL39532-32,HILO 75/72/2 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL38413-22,150/48+20 DTY 100% POLIESTER SD TANG GRIS,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-27,150/48+20 DTY 100% POLIESTER SD TANG ROSA,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-24,150/48+20 DTY 100% POLIESTER SD TANG BEIGE,0.0,1.3,50.0,107.0,65.0,139.1
HILFIL38413-34,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-35,150/48+20 DTY 100% POLIESTER SD TANG GRIS,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-40,150/48+20 DTY 100% POLIESTER SD TANG VERDE,0.0,33.3,50.0,107.0,1665.0,3563.1
HILFIL38413-39,150/48+20 DTY 100% POLIESTER SD TANG MILITAR,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-38,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-37,150/48+20 DTY 100% POLIESTER SD TANG ARENA,0.0,1.4,50.0,107.0,70.0,149.8
HILFIL38413-36,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL96063-42,150/36 DTY 100% POLIESTER SD HIM GRIS KOALA,0.0,430.79,36.4,51.04,15680.76,21987.52
FILTEÑ33174-43,150/48 DTY 100% POLIESTER SD NIM C/G VINO,0.0,1156.94,40.0,69.6,46277.6,80523.02
FILTAN76741-44,150/48+20 100% POL TANG VINO,0.0,7.5,55.0,58.0,412.5,435.0
FILTEÑ90476-43,150/48 100% POL TEX C/CH VINO T042-306,0.0,97.53,77.0,83.52,7509.81,8145.71
FILTEÑ98711-45,150/48 DTY 100% POLIESTER SD NIM C/G BLANCO,0.0,9876.6236,40.0,58.0,395064.94,572844.17
FILTEÑ91356-45,150/48 100% POL TEX C/CH BLANCO OPTICO T-286,0.0,0.0,40.0,69.6,0.0,0.0
HILFIL11189-41,150/48 DTY 100% POLIESTER SD NIM C/G ROSA,0.0,0.0,40.0,71.92,0.0,0.0
HILFIL55083-32,200/288 100% POL SIM CRUDO,0.0,0.0,27.12,40.0,0.0,0.0
FILCRU41467-32,150/48 DTY 100% POLIESTER SD HIM CRUDO,0.0,1269.5,38.0,44.08,48241.0,55959.56
FILCRU66048-32,150/48/2 100% POL TEX CRUDO,0.0,0.0,42.2,44.08,0.0,0.0
HILFIL66523-32,50/72 100% POL SIM CRUDO,0.0,0.0,38.28,42.92,0.0,0.0
FILCRU49991-32,75/36 DTY 100% POLIESTER SD NIM CRUDO,0.0,0.0,30.0,42.92,0.0,0.0
FILCRU66474-32,150/96 100% POL CRUDO,0.0,0.0,40.0,41.76,0.0,0.0
04OLIM0105,OLIMPICA BLANCO,0.0,1253.9,70.0,110.2,87773.0,138179.78
04OLIM0348,OLIMPICA NEGRO,0.0,2908.1,70.0,121.8,203567.0,354206.58
